County,Agency Name,Offense Description,Agency Name,County,Offense Description,Min. months_submitted,Min. year of year,Offense Count
Brown,Brown Co SO,Human Trafficking - Commercial Sex,Brown Co SO,Brown,Human Trafficking - Commercial Sex,12,2019,4
Brown,Ashwaubenon PD,Human Trafficking - Commercial Sex,Ashwaubenon PD,Brown,Human Trafficking - Commercial Sex,12,2019,1
Brown,UW-Green Bay PD,Simple Assault,UW-Green Bay PD,Brown,Simple Assault,12,2019,1
Brown,Pulaski PD,Simple Assault,Pulaski PD,Brown,Simple Assault,12,2019,0
Brown,Hobart-Lawrence PD,Simple Assault,Hobart-Lawrence PD,Brown,Simple Assault,12,2019,18
Brown,Green Bay PD,Simple Assault,Green Bay PD,Brown,Simple Assault,12,2019,"1,023"
Brown,De Pere PD,Simple Assault,De Pere PD,Brown,Simple Assault,12,2019,39
Brown,Brown Co SO,Simple Assault,Brown Co SO,Brown,Simple Assault,12,2019,166
Brown,Ashwaubenon PD,Simple Assault,Ashwaubenon PD,Brown,Simple Assault,12,2019,75
Brown,UW-Green Bay PD,Arson,UW-Green Bay PD,Brown,Arson,12,2019,0
Brown,Pulaski PD,Arson,Pulaski PD,Brown,Arson,12,2019,0
Brown,Hobart-Lawrence PD,Arson,Hobart-Lawrence PD,Brown,Arson,12,2019,0
Brown,Green Bay PD,Arson,Green Bay PD,Brown,Arson,12,2019,10
Brown,De Pere PD,Arson,De Pere PD,Brown,Arson,12,2019,6
Brown,Brown Co SO,Arson,Brown Co SO,Brown,Arson,12,2019,2
Brown,Ashwaubenon PD,Arson,Ashwaubenon PD,Brown,Arson,12,2019,0
Brown,UW-Green Bay PD,Motor Vehicle Theft,UW-Green Bay PD,Brown,Motor Vehicle Theft,12,2019,0
Brown,Pulaski PD,Motor Vehicle Theft,Pulaski PD,Brown,Motor Vehicle Theft,12,2019,1
Brown,Hobart-Lawrence PD,Motor Vehicle Theft,Hobart-Lawrence PD,Brown,Motor Vehicle Theft,12,2019,1
Brown,Green Bay PD,Motor Vehicle Theft,Green Bay PD,Brown,Motor Vehicle Theft,12,2019,124
Brown,De Pere PD,Motor Vehicle Theft,De Pere PD,Brown,Motor Vehicle Theft,12,2019,4
Brown,Brown Co SO,Motor Vehicle Theft,Brown Co SO,Brown,Motor Vehicle Theft,12,2019,31
Brown,Ashwaubenon PD,Motor Vehicle Theft,Ashwaubenon PD,Brown,Motor Vehicle Theft,12,2019,12
Brown,UW-Green Bay PD,Larceny Theft,UW-Green Bay PD,Brown,Larceny Theft,12,2019,16
Brown,Pulaski PD,Larceny Theft,Pulaski PD,Brown,Larceny Theft,12,2019,15
Brown,Hobart-Lawrence PD,Larceny Theft,Hobart-Lawrence PD,Brown,Larceny Theft,12,2019,35
Brown,Green Bay PD,Larceny Theft,Green Bay PD,Brown,Larceny Theft,12,2019,"1,362"
Brown,De Pere PD,Larceny Theft,De Pere PD,Brown,Larceny Theft,12,2019,195
Brown,Brown Co SO,Larceny Theft,Brown Co SO,Brown,Larceny Theft,12,2019,571
Brown,Ashwaubenon PD,Larceny Theft,Ashwaubenon PD,Brown,Larceny Theft,12,2019,446
Brown,UW-Green Bay PD,Burglary,UW-Green Bay PD,Brown,Burglary,12,2019,0
Brown,Pulaski PD,Burglary,Pulaski PD,Brown,Burglary,12,2019,0
Brown,Hobart-Lawrence PD,Burglary,Hobart-Lawrence PD,Brown,Burglary,12,2019,8
Brown,Green Bay PD,Burglary,Green Bay PD,Brown,Burglary,12,2019,245
Brown,De Pere PD,Burglary,De Pere PD,Brown,Burglary,12,2019,21
Brown,Brown Co SO,Burglary,Brown Co SO,Brown,Burglary,12,2019,37
Brown,Ashwaubenon PD,Burglary,Ashwaubenon PD,Brown,Burglary,12,2019,21
Brown,UW-Green Bay PD,Aggravated Assault,UW-Green Bay PD,Brown,Aggravated Assault,12,2019,0
Brown,Pulaski PD,Aggravated Assault,Pulaski PD,Brown,Aggravated Assault,12,2019,8
Brown,Hobart-Lawrence PD,Aggravated Assault,Hobart-Lawrence PD,Brown,Aggravated Assault,12,2019,6
Brown,Green Bay PD,Aggravated Assault,Green Bay PD,Brown,Aggravated Assault,12,2019,399
Brown,De Pere PD,Aggravated Assault,De Pere PD,Brown,Aggravated Assault,12,2019,17
Brown,Brown Co SO,Aggravated Assault,Brown Co SO,Brown,Aggravated Assault,12,2019,53
Brown,Ashwaubenon PD,Aggravated Assault,Ashwaubenon PD,Brown,Aggravated Assault,12,2019,10
Brown,UW-Green Bay PD,Robbery,UW-Green Bay PD,Brown,Robbery,12,2019,0
Brown,Pulaski PD,Robbery,Pulaski PD,Brown,Robbery,12,2019,0
Brown,Hobart-Lawrence PD,Robbery,Hobart-Lawrence PD,Brown,Robbery,12,2019,0
Brown,Green Bay PD,Robbery,Green Bay PD,Brown,Robbery,12,2019,49
Brown,De Pere PD,Robbery,De Pere PD,Brown,Robbery,12,2019,0
Brown,Brown Co SO,Robbery,Brown Co SO,Brown,Robbery,12,2019,3
Brown,Ashwaubenon PD,Robbery,Ashwaubenon PD,Brown,Robbery,12,2019,1
Brown,UW-Green Bay PD,Rape - revised 2017,UW-Green Bay PD,Brown,Rape - revised 2017,12,2019,1
Brown,Pulaski PD,Rape - revised 2017,Pulaski PD,Brown,Rape - revised 2017,12,2019,0
Brown,Hobart-Lawrence PD,Rape - revised 2017,Hobart-Lawrence PD,Brown,Rape - revised 2017,12,2019,2
Brown,Green Bay PD,Rape - revised 2017,Green Bay PD,Brown,Rape - revised 2017,12,2019,82
Brown,De Pere PD,Rape - revised 2017,De Pere PD,Brown,Rape - revised 2017,12,2019,2
Brown,Brown Co SO,Rape - revised 2017,Brown Co SO,Brown,Rape - revised 2017,12,2019,31
Brown,Ashwaubenon PD,Rape - revised 2017,Ashwaubenon PD,Brown,Rape - revised 2017,12,2019,9
Brown,UW-Green Bay PD,Homicide,UW-Green Bay PD,Brown,Homicide,12,2019,0
Brown,Pulaski PD,Homicide,Pulaski PD,Brown,Homicide,12,2019,0
Brown,Hobart-Lawrence PD,Homicide,Hobart-Lawrence PD,Brown,Homicide,12,2019,0
Brown,Green Bay PD,Homicide,Green Bay PD,Brown,Homicide,12,2019,3
Brown,De Pere PD,Homicide,De Pere PD,Brown,Homicide,12,2019,1
Brown,Brown Co SO,Homicide,Brown Co SO,Brown,Homicide,12,2019,1
Brown,Ashwaubenon PD,Homicide,Ashwaubenon PD,Brown,Homicide,12,2019,0
Buffalo,Mondovi PD,Human Trafficking - Involuntary Servitude,Mondovi PD,Buffalo,Human Trafficking - Involuntary Servitude,12,2019,0
Buffalo,Buffalo Co SO,Human Trafficking - Involuntary Servitude,Buffalo Co SO,Buffalo,Human Trafficking - Involuntary Servitude,12,2019,0
Buffalo,Mondovi PD,Human Trafficking - Commercial Sex,Mondovi PD,Buffalo,Human Trafficking - Commercial Sex,12,2019,0
Buffalo,Buffalo Co SO,Human Trafficking - Commercial Sex,Buffalo Co SO,Buffalo,Human Trafficking - Commercial Sex,12,2019,0
Buffalo,Mondovi PD,Simple Assault,Mondovi PD,Buffalo,Simple Assault,12,2019,0
Buffalo,Buffalo Co SO,Simple Assault,Buffalo Co SO,Buffalo,Simple Assault,12,2019,8
Buffalo,Mondovi PD,Arson,Mondovi PD,Buffalo,Arson,12,2019,0
Buffalo,Buffalo Co SO,Arson,Buffalo Co SO,Buffalo,Arson,12,2019,0
Buffalo,Mondovi PD,Motor Vehicle Theft,Mondovi PD,Buffalo,Motor Vehicle Theft,12,2019,0
Buffalo,Buffalo Co SO,Motor Vehicle Theft,Buffalo Co SO,Buffalo,Motor Vehicle Theft,12,2019,2
Buffalo,Mondovi PD,Larceny Theft,Mondovi PD,Buffalo,Larceny Theft,12,2019,5
Buffalo,Buffalo Co SO,Larceny Theft,Buffalo Co SO,Buffalo,Larceny Theft,12,2019,3
Buffalo,Mondovi PD,Burglary,Mondovi PD,Buffalo,Burglary,12,2019,0
Buffalo,Buffalo Co SO,Burglary,Buffalo Co SO,Buffalo,Burglary,12,2019,1
Buffalo,Mondovi PD,Aggravated Assault,Mondovi PD,Buffalo,Aggravated Assault,12,2019,12
Buffalo,Buffalo Co SO,Aggravated Assault,Buffalo Co SO,Buffalo,Aggravated Assault,12,2019,3
Buffalo,Mondovi PD,Robbery,Mondovi PD,Buffalo,Robbery,12,2019,0
Buffalo,Buffalo Co SO,Robbery,Buffalo Co SO,Buffalo,Robbery,12,2019,0
Buffalo,Mondovi PD,Rape - revised 2017,Mondovi PD,Buffalo,Rape - revised 2017,12,2019,0
Buffalo,Buffalo Co SO,Rape - revised 2017,Buffalo Co SO,Buffalo,Rape - revised 2017,12,2019,1
Buffalo,Mondovi PD,Homicide,Mondovi PD,Buffalo,Homicide,12,2019,0
Buffalo,Buffalo Co SO,Homicide,Buffalo Co SO,Buffalo,Homicide,12,2019,0
Burnett,Webster PD,Human Trafficking - Involuntary Servitude,Webster PD,Burnett,Human Trafficking - Involuntary Servitude,12,2019,0
Burnett,Siren PD,Human Trafficking - Involuntary Servitude,Siren PD,Burnett,Human Trafficking - Involuntary Servitude,12,2019,0
Burnett,Grantsburg PD,Human Trafficking - Involuntary Servitude,Grantsburg PD,Burnett,Human Trafficking - Involuntary Servitude,12,2019,0
Burnett,Burnett Co SO,Human Trafficking - Involuntary Servitude,Burnett Co SO,Burnett,Human Trafficking - Involuntary Servitude,12,2019,0
Burnett,Webster PD,Human Trafficking - Commercial Sex,Webster PD,Burnett,Human Trafficking - Commercial Sex,12,2019,0
Burnett,Siren PD,Human Trafficking - Commercial Sex,Siren PD,Burnett,Human Trafficking - Commercial Sex,12,2019,0
Burnett,Grantsburg PD,Human Trafficking - Commercial Sex,Grantsburg PD,Burnett,Human Trafficking - Commercial Sex,12,2019,0
Burnett,Burnett Co SO,Human Trafficking - Commercial Sex,Burnett Co SO,Burnett,Human Trafficking - Commercial Sex,12,2019,0
Burnett,Webster PD,Simple Assault,Webster PD,Burnett,Simple Assault,12,2019,0
Burnett,Siren PD,Simple Assault,Siren PD,Burnett,Simple Assault,12,2019,4
Burnett,Grantsburg PD,Simple Assault,Grantsburg PD,Burnett,Simple Assault,12,2019,1
Burnett,Burnett Co SO,Simple Assault,Burnett Co SO,Burnett,Simple Assault,12,2019,56
Burnett,Webster PD,Arson,Webster PD,Burnett,Arson,12,2019,0
Burnett,Siren PD,Arson,Siren PD,Burnett,Arson,12,2019,0
Burnett,Grantsburg PD,Arson,Grantsburg PD,Burnett,Arson,12,2019,0
