,State,County_x,Agency Name,Offense Description,Min. year of year_x,Offense Count_x,County_y,Min. year of year_y,Offense Count_y,County,Min. year of year,Offense Count
182,WI,Brown,UW-Green Bay PD,Homicide,2018,0,Brown,2019,0,Brown,2020,0
183,WI,Brown,Pulaski PD,Homicide,2018,0,Brown,2019,0,Brown,2020,0
184,WI,Brown,Hobart-Lawrence PD,Homicide,2018,0,Brown,2019,0,Brown,2020,0
185,WI,Brown,Green Bay PD,Homicide,2018,1,Brown,2019,3,Brown,2020,6
186,WI,Brown,De Pere PD,Homicide,2018,0,Brown,2019,1,Brown,2020,0
187,WI,Brown,Brown Co SO,Homicide,2018,0,Brown,2019,1,Brown,2020,0
188,WI,Brown,Ashwaubenon PD,Homicide,2018,0,Brown,2019,0,Brown,2020,1
189,WI,Buffalo,Mondovi PD,Simple Assault,2018,1,Buffalo,2019,0,Buffalo,2020,1
190,WI,Buffalo,Buffalo Co SO,Simple Assault,2018,7,Buffalo,2019,8,Buffalo,2020,15
191,WI,Buffalo,Mondovi PD,Arson,2018,0,Buffalo,2019,0,Buffalo,2020,0
192,WI,Buffalo,Buffalo Co SO,Arson,2018,0,Buffalo,2019,0,Buffalo,2020,0
193,WI,Buffalo,Mondovi PD,Motor Vehicle Theft,2018,1,Buffalo,2019,0,Buffalo,2020,0
194,WI,Buffalo,Buffalo Co SO,Motor Vehicle Theft,2018,4,Buffalo,2019,2,Buffalo,2020,5
195,WI,Buffalo,Mondovi PD,Larceny Theft,2018,12,Buffalo,2019,5,Buffalo,2020,1
196,WI,Buffalo,Buffalo Co SO,Larceny Theft,2018,4,Buffalo,2019,3,Buffalo,2020,13
197,WI,Buffalo,Mondovi PD,Burglary,2018,3,Buffalo,2019,0,Buffalo,2020,0
198,WI,Buffalo,Buffalo Co SO,Burglary,2018,2,Buffalo,2019,1,Buffalo,2020,2
199,WI,Buffalo,Mondovi PD,Aggravated Assault,2018,0,Buffalo,2019,12,Buffalo,2020,4
200,WI,Buffalo,Buffalo Co SO,Aggravated Assault,2018,1,Buffalo,2019,3,Buffalo,2020,3
201,WI,Buffalo,Mondovi PD,Robbery,2018,0,Buffalo,2019,0,Buffalo,2020,0
202,WI,Buffalo,Buffalo Co SO,Robbery,2018,0,Buffalo,2019,0,Buffalo,2020,1
203,WI,Buffalo,Mondovi PD,Rape - revised 2017,2018,1,Buffalo,2019,0,Buffalo,2020,0
204,WI,Buffalo,Buffalo Co SO,Rape - revised 2017,2018,2,Buffalo,2019,1,Buffalo,2020,1
205,WI,Buffalo,Mondovi PD,Homicide,2018,0,Buffalo,2019,0,Buffalo,2020,0
206,WI,Buffalo,Buffalo Co SO,Homicide,2018,0,Buffalo,2019,0,Buffalo,2020,0
207,WI,Burnett,Webster PD,Simple Assault,2018,0,Burnett,2019,0,Burnett,2020,12
208,WI,Burnett,Siren PD,Simple Assault,2018,8,Burnett,2019,4,Burnett,2020,5
209,WI,Burnett,Grantsburg PD,Simple Assault,2018,0,Burnett,2019,1,Burnett,2020,0
210,WI,Burnett,Burnett Co SO,Simple Assault,2018,61,Burnett,2019,56,Burnett,2020,108
211,WI,Burnett,Webster PD,Arson,2018,0,Burnett,2019,0,Burnett,2020,0
212,WI,Burnett,Siren PD,Arson,2018,1,Burnett,2019,0,Burnett,2020,1
213,WI,Burnett,Grantsburg PD,Arson,2018,0,Burnett,2019,0,Burnett,2020,0
214,WI,Burnett,Burnett Co SO,Arson,2018,2,Burnett,2019,3,Burnett,2020,1
215,WI,Burnett,Webster PD,Motor Vehicle Theft,2018,0,Burnett,2019,0,Burnett,2020,4
216,WI,Burnett,Siren PD,Motor Vehicle Theft,2018,2,Burnett,2019,1,Burnett,2020,0
217,WI,Burnett,Grantsburg PD,Motor Vehicle Theft,2018,0,Burnett,2019,1,Burnett,2020,0
218,WI,Burnett,Burnett Co SO,Motor Vehicle Theft,2018,27,Burnett,2019,15,Burnett,2020,26
219,WI,Burnett,Webster PD,Larceny Theft,2018,8,Burnett,2019,13,Burnett,2020,11
220,WI,Burnett,Siren PD,Larceny Theft,2018,34,Burnett,2019,14,Burnett,2020,5
221,WI,Burnett,Grantsburg PD,Larceny Theft,2018,36,Burnett,2019,8,Burnett,2020,18
222,WI,Burnett,Burnett Co SO,Larceny Theft,2018,195,Burnett,2019,145,Burnett,2020,164
223,WI,Burnett,Webster PD,Burglary,2018,1,Burnett,2019,9,Burnett,2020,1
224,WI,Burnett,Siren PD,Burglary,2018,10,Burnett,2019,0,Burnett,2020,0
225,WI,Burnett,Grantsburg PD,Burglary,2018,1,Burnett,2019,0,Burnett,2020,0
226,WI,Burnett,Burnett Co SO,Burglary,2018,129,Burnett,2019,79,Burnett,2020,104
227,WI,Burnett,Webster PD,Aggravated Assault,2018,0,Burnett,2019,0,Burnett,2020,2
228,WI,Burnett,Siren PD,Aggravated Assault,2018,2,Burnett,2019,0,Burnett,2020,2
229,WI,Burnett,Grantsburg PD,Aggravated Assault,2018,0,Burnett,2019,6,Burnett,2020,10
230,WI,Burnett,Burnett Co SO,Aggravated Assault,2018,24,Burnett,2019,17,Burnett,2020,35
231,WI,Burnett,Webster PD,Robbery,2018,0,Burnett,2019,0,Burnett,2020,0
232,WI,Burnett,Siren PD,Robbery,2018,0,Burnett,2019,0,Burnett,2020,1
233,WI,Burnett,Grantsburg PD,Robbery,2018,0,Burnett,2019,0,Burnett,2020,1
234,WI,Burnett,Burnett Co SO,Robbery,2018,1,Burnett,2019,0,Burnett,2020,2
235,WI,Burnett,Webster PD,Rape - revised 2017,2018,1,Burnett,2019,0,Burnett,2020,1
236,WI,Burnett,Siren PD,Rape - revised 2017,2018,0,Burnett,2019,0,Burnett,2020,3
237,WI,Burnett,Grantsburg PD,Rape - revised 2017,2018,0,Burnett,2019,0,Burnett,2020,0
238,WI,Burnett,Burnett Co SO,Rape - revised 2017,2018,5,Burnett,2019,5,Burnett,2020,6
239,WI,Burnett,Webster PD,Homicide,2018,0,Burnett,2019,0,Burnett,2020,0
240,WI,Burnett,Siren PD,Homicide,2018,0,Burnett,2019,0,Burnett,2020,0
241,WI,Burnett,Grantsburg PD,Homicide,2018,0,Burnett,2019,0,Burnett,2020,0
242,WI,Burnett,Burnett Co SO,Homicide,2018,0,Burnett,2019,0,Burnett,2020,2
243,WI,Calumet,New Holstein PD,Simple Assault,2018,10,Calumet,2019,17,Calumet,2020,21
244,WI,Calumet,Chilton PD,Simple Assault,2018,9,Calumet,2019,19,Calumet,2020,13
245,WI,Calumet,Calumet Co SO,Simple Assault,2018,56,Calumet,2019,37,Calumet,2020,40
246,WI,Calumet,Brillion PD,Simple Assault,2018,4,Calumet,2019,4,Calumet,2020,9
247,WI,Calumet,New Holstein PD,Arson,2018,0,Calumet,2019,0,Calumet,2020,0
248,WI,Calumet,Chilton PD,Arson,2018,0,Calumet,2019,0,Calumet,2020,0
249,WI,Calumet,Calumet Co SO,Arson,2018,1,Calumet,2019,0,Calumet,2020,0
250,WI,Calumet,Brillion PD,Arson,2018,0,Calumet,2019,0,Calumet,2020,1
251,WI,Calumet,New Holstein PD,Motor Vehicle Theft,2018,1,Calumet,2019,0,Calumet,2020,1
252,WI,Calumet,Chilton PD,Motor Vehicle Theft,2018,2,Calumet,2019,1,Calumet,2020,1
253,WI,Calumet,Calumet Co SO,Motor Vehicle Theft,2018,7,Calumet,2019,9,Calumet,2020,6
254,WI,Calumet,Brillion PD,Motor Vehicle Theft,2018,0,Calumet,2019,0,Calumet,2020,0
255,WI,Calumet,New Holstein PD,Larceny Theft,2018,14,Calumet,2019,10,Calumet,2020,13
256,WI,Calumet,Chilton PD,Larceny Theft,2018,12,Calumet,2019,30,Calumet,2020,45
257,WI,Calumet,Calumet Co SO,Larceny Theft,2018,38,Calumet,2019,54,Calumet,2020,71
258,WI,Calumet,Brillion PD,Larceny Theft,2018,11,Calumet,2019,13,Calumet,2020,21
259,WI,Calumet,New Holstein PD,Burglary,2018,1,Calumet,2019,1,Calumet,2020,1
260,WI,Calumet,Chilton PD,Burglary,2018,0,Calumet,2019,5,Calumet,2020,3
261,WI,Calumet,Calumet Co SO,Burglary,2018,8,Calumet,2019,13,Calumet,2020,13
262,WI,Calumet,Brillion PD,Burglary,2018,0,Calumet,2019,1,Calumet,2020,4
263,WI,Calumet,New Holstein PD,Aggravated Assault,2018,2,Calumet,2019,3,Calumet,2020,3
264,WI,Calumet,Chilton PD,Aggravated Assault,2018,3,Calumet,2019,3,Calumet,2020,6
265,WI,Calumet,Calumet Co SO,Aggravated Assault,2018,3,Calumet,2019,6,Calumet,2020,16
266,WI,Calumet,Brillion PD,Aggravated Assault,2018,3,Calumet,2019,2,Calumet,2020,4
